Year	Month	Day	Hour	Minute	DOY	TOD	DEC	Ta
2019	1	1	0	30	1	0.5	1.02083	3.51
2019	1	1	1	30	1	1.5	1.06250	2.66
2019	1	1	2	30	1	2.5	1.10417	2.94
2019	1	1	3	30	1	3.5	1.14583	3.17
2019	1	1	4	30	1	4.5	1.18750	2.03
2019	1	1	5	30	1	5.5	1.22917	1.41
2019	1	1	6	30	1	6.5	1.27083	0.75
2019	1	1	7	30	1	7.5	1.31250	0.48
2019	1	1	8	30	1	8.5	1.35417	1.60
2019	1	1	9	30	1	9.5	1.39583	3.94
2019	1	1	10	30	1	10.5	1.43750	6.04
2019	1	1	11	30	1	11.5	1.47917	7.79
2019	1	1	12	30	1	12.5	1.52083	9.51
2019	1	1	13	30	1	13.5	1.56250	10.39
2019	1	1	14	30	1	14.5	1.60417	9.66
2019	1	1	15	30	1	15.5	1.64583	9.57
2019	1	1	16	30	1	16.5	1.68750	8.78
2019	1	1	17	30	1	17.5	1.72917	6.71
2019	1	1	18	30	1	18.5	1.77083	5.69
2019	1	1	19	30	1	19.5	1.81250	5.06
2019	1	1	20	30	1	20.5	1.85417	3.87
2019	1	1	21	30	1	21.5	1.89583	2.57
2019	1	1	22	30	1	22.5	1.93750	1.76
2019	1	1	23	30	1	23.5	1.97917	1.96
2019	1	2	0	30	2	0.5	2.02083	1.65
2019	1	2	1	30	2	1.5	2.06250	1.23
2019	1	2	2	30	2	2.5	2.10417	1.43
2019	1	2	3	30	2	3.5	2.14583	1.08
2019	1	2	4	30	2	4.5	2.18750	0.70
2019	1	2	5	30	2	5.5	2.22917	0.48
2019	1	2	6	30	2	6.5	2.27083	-0.15
2019	1	2	7	30	2	7.5	2.31250	-0.64
2019	1	2	8	30	2	8.5	2.35417	0.79
2019	1	2	9	30	2	9.5	2.39583	3.57
2019	1	2	10	30	2	10.5	2.43750	6.73
2019	1	2	11	30	2	11.5	2.47917	8.13
2019	1	2	12	30	2	12.5	2.52083	9.49
2019	1	2	13	30	2	13.5	2.56250	10.35
2019	1	2	14	30	2	14.5	2.60417	10.89
2019	1	2	15	30	2	15.5	2.64583	11.07
2019	1	2	16	30	2	16.5	2.68750	10.62
2019	1	2	17	30	2	17.5	2.72917	7.68
2019	1	2	18	30	2	18.5	2.77083	4.83
2019	1	2	19	30	2	19.5	2.81250	3.73
2019	1	2	20	30	2	20.5	2.85417	3.58
2019	1	2	21	30	2	21.5	2.89583	2.90
2019	1	2	22	30	2	22.5	2.93750	2.38
2019	1	2	23	30	2	23.5	2.97917	1.72
2019	1	3	0	30	3	0.5	3.02083	1.80
2019	1	3	1	30	3	1.5	3.06250	1.89
2019	1	3	2	30	3	2.5	3.10417	1.54
2019	1	3	3	30	3	3.5	3.14583	0.96
2019	1	3	4	30	3	4.5	3.18750	0.33
